display  D   display_settings.c:377  _al_score_display_settings       [   0.02701] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02702] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.02703] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02704] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.02705] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02706] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.02708] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02709] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.02710] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02711] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.02712] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02713] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.02715] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02716] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.02717] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02718] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.02719] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02720] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.02721] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02722] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
